Year,Country,Crime_Type,Cases,Financial_Loss_USD
2019,USA,Phishing,917,756525
2019,USA,Hacking,1644,667464
2019,USA,Identity Theft,835,1093850
2019,USA,Online Fraud,1093,469990
2019,USA,Malware Attack,654,337464
2019,USA,Data Breach,471,231261
2019,India,Phishing,546,360360
2019,India,Hacking,1463,1224531
2019,India,Identity Theft,1755,914355
2019,India,Online Fraud,1672,911240
2019,India,Malware Attack,535,318325
2019,India,Data Breach,1225,812175
2019,UK,Phishing,1648,2354992
2019,UK,Hacking,1822,1978692
2019,UK,Identity Theft,1143,337185
2019,UK,Online Fraud,763,774445
2019,UK,Malware Attack,1520,2258720
2019,UK,Data Breach,1734,1066410
2019,Germany,Phishing,322,463680
2019,Germany,Hacking,1219,1349433
2019,Germany,Identity Theft,1951,515064
2019,Germany,Online Fraud,1751,1329009
2019,Germany,Malware Attack,472,498432
2019,Germany,Data Breach,1653,413250
2019,Canada,Phishing,1971,2205549
2019,Canada,Hacking,445,405395
2019,Canada,Identity Theft,449,244705
2019,Canada,Online Fraud,1725,2277000
2019,Canada,Malware Attack,1649,346290
2019,Canada,Data Breach,882,871416
2019,Australia,Phishing,1973,2087434
2019,Australia,Hacking,1388,1629512
2019,Australia,Identity Theft,1904,1186192
2019,Australia,Online Fraud,1561,2314963
2019,Australia,Malware Attack,1598,2265964
2019,Australia,Data Breach,784,751072
2020,USA,Phishing,286,155584
2020,USA,Hacking,224,250432
2020,USA,Identity Theft,1992,561744
2020,USA,Online Fraud,1982,1821458
2020,USA,Malware Attack,1230,1809330
2020,USA,Data Breach,1010,334310
2020,India,Phishing,575,162150
2020,India,Hacking,1219,707020
2020,India,Identity Theft,988,443612
2020,India,Online Fraud,1598,989162
2020,India,Malware Attack,573,559821
2020,India,Data Breach,401,333231
2020,UK,Phishing,320,65600
2020,UK,Hacking,1352,1020760
2020,UK,Identity Theft,1172,1099336
2020,UK,Online Fraud,1344,540288
2020,UK,Malware Attack,997,304085
2020,UK,Data Breach,1407,1399965
2020,Germany,Phishing,421,127984
2020,Germany,Hacking,574,128002
2020,Germany,Identity Theft,1051,869177
2020,Germany,Online Fraud,1111,346632
2020,Germany,Malware Attack,600,179400
2020,Germany,Data Breach,841,822498
2020,Canada,Phishing,348,114144
2020,Canada,Hacking,1976,1217216
2020,Canada,Identity Theft,316,353288
2020,Canada,Online Fraud,275,336875
2020,Canada,Malware Attack,1180,389400
